created_date,datasets_created,Agency
2013-06-10,1,CDC
2013-06-11,1,CDC
2013-06-19,1,CDC
2013-06-27,2,CDC
2013-07-17,1,CDC
2013-07-29,5,CDC
2013-08-02,2,CDC
2014-03-01,1,CDC
2014-03-04,1,CDC
2014-03-05,1,CDC
2014-03-09,8,CDC
2014-03-10,1,CDC
2014-04-01,1,CDC
2014-04-02,2,CDC
2014-04-07,1,CDC
2014-04-16,1,CDC
2014-04-22,1,CDC
2014-05-07,2,CDC
2014-05-19,4,CDC
2014-05-27,3,CDC
2014-05-28,2,CDC
2014-06-05,1,CDC
2014-07-14,3,CDC
2014-07-15,4,CDC
2014-07-21,2,CDC
2014-08-11,2,CDC
2014-08-14,1,CDC
2014-08-27,1,CDC
2014-09-05,2,CDC
2014-12-05,1,CDC
2014-12-12,1,CDC
2014-12-15,4,CDC
2014-12-16,12,CDC
2014-12-17,31,CDC
2015-01-12,1,CDC
2015-01-13,15,CDC
2015-01-14,1,CDC
2015-01-15,3,CDC
2015-01-20,1,CDC
2015-01-21,2,CDC
2015-01-23,2,CDC
2015-01-28,2,CDC
2015-02-02,1,CDC
2015-02-04,1,CDC
2015-02-05,1,CDC
2015-03-02,1,CDC
2015-03-05,1,CDC
2015-03-16,11,CDC
2015-03-17,6,CDC
2015-03-24,1,CDC
2015-03-25,1,CDC
2015-04-14,1,CDC
2015-04-21,1,CDC
2015-04-22,3,CDC
2015-05-04,6,CDC
2015-05-15,1,CDC
2015-05-20,1,CDC
2015-06-01,1,CDC
2015-06-04,6,CDC
2015-06-15,1,CDC
2015-06-17,1,CDC
2015-06-23,1,CDC
2015-06-30,3,CDC
2015-07-08,2,CDC
2015-07-09,1,CDC
2015-07-10,1,CDC
2015-07-14,5,CDC
2015-08-07,1,CDC
2015-08-12,1,CDC
2015-09-14,1,CDC
2015-09-16,1,CDC
2015-10-15,1,CDC
2015-11-06,4,CDC
2015-11-17,1,CDC
2015-12-02,14,CDC
2016-01-07,2,CDC
2016-01-11,7,CDC
2016-01-12,9,CDC
2016-01-20,1,CDC
2016-03-01,1,CDC
2016-03-15,1,CDC
2016-04-14,1,CDC
2016-05-11,1,CDC
2016-05-12,2,CDC
2016-05-13,1,CDC
2016-05-16,1,CDC
2016-06-15,2,CDC
2016-06-24,2,CDC
2016-07-21,2,CDC
2016-07-22,4,CDC
2016-08-03,1,CDC
2016-08-04,1,CDC
2016-09-13,1,CDC
2016-10-06,1,CDC
2016-10-20,1,CDC
2016-10-28,2,CDC
2016-11-02,1,CDC
2016-11-07,1,CDC
2016-11-08,2,CDC
2016-11-21,1,CDC
2016-11-30,2,CDC
2017-01-12,17,CDC
2017-01-19,1,CDC
2017-04-06,1,CDC
2017-04-12,1,CDC
2017-05-31,1,CDC
2017-06-07,1,CDC
2017-06-27,2,CDC
2017-07-13,1,CDC
2017-07-20,1,CDC
2017-07-24,2,CDC
2017-08-10,1,CDC
2017-08-15,2,CDC
2017-08-23,1,CDC
2017-09-28,1,CDC
2017-10-03,1,CDC
2017-11-21,1,CDC
2017-11-22,2,CDC
2017-12-06,2,CDC
2018-01-05,1,CDC
2018-01-06,1,CDC
2018-01-08,16,CDC
2018-01-09,2,CDC
2018-02-07,1,CDC
2018-02-13,6,CDC
2018-03-06,1,CDC
2018-03-07,1,CDC
2018-04-12,1,CDC
2018-05-16,2,CDC
2018-05-23,1,CDC
2018-05-24,1,CDC
2018-05-30,1,CDC
2018-06-20,1,CDC
2018-07-04,1,CDC
2018-07-10,1,CDC
2018-07-19,1,CDC
2018-07-23,1,CDC
2018-07-26,3,CDC
2018-07-31,1,CDC
2018-08-01,1,CDC
2018-08-03,2,CDC
2018-10-11,1,CDC
2018-10-15,2,CDC
2018-12-31,9,CDC
2019-01-01,7,CDC
2019-01-02,3,CDC
2019-01-03,23,CDC
2019-02-01,1,CDC
2019-03-05,1,CDC
2019-03-19,1,CDC
2019-04-01,39,CDC
2019-04-10,1,CDC
2019-04-26,1,CDC
2019-04-29,1,CDC
2019-05-06,2,CDC
2019-05-23,1,CDC
2019-06-21,1,CDC
2019-07-24,2,CDC
2019-08-12,1,CDC
2019-08-20,1,CDC
2019-09-26,1,CDC
2019-09-27,1,CDC
2019-12-04,2,CDC
2019-12-05,1,CDC
2019-12-12,10,CDC
2019-12-13,7,CDC
2019-12-16,11,CDC
2019-12-17,2,CDC
2020-01-10,6,CDC
2020-01-14,2,CDC
2020-01-16,3,CDC
2020-03-18,1,CDC
2020-03-19,2,CDC
2020-03-26,2,CDC
2020-03-27,1,CDC
2020-03-30,1,CDC
2020-04-03,1,CDC
2020-04-06,1,CDC
2020-04-08,1,CDC
2020-04-10,3,CDC
2020-04-13,1,CDC
2020-04-21,3,CDC
2020-04-27,1,CDC
2020-04-28,1,CDC
2020-04-29,1,CDC
2020-05-01,3,CDC
2020-05-06,1,CDC
2020-05-08,3,CDC
2020-05-13,1,CDC
2020-05-15,2,CDC
2020-05-20,3,CDC
2020-05-21,1,CDC
2020-05-28,2,CDC
2020-05-29,1,CDC
2020-06-24,1,CDC
2020-06-25,1,CDC
2020-06-29,1,CDC
2020-07-22,3,CDC
2020-07-24,3,CDC
2020-08-04,1,CDC
2020-08-05,1,CDC
2020-08-06,2,CDC
2020-08-08,1,CDC
2020-08-13,1,CDC
2020-09-02,1,CDC
2020-09-04,2,CDC
2020-09-11,1,CDC
2020-09-14,4,CDC
2020-09-15,1,CDC
2020-09-16,1,CDC
2020-09-23,1,CDC
2020-09-24,2,CDC
2020-09-25,2,CDC
2020-10-02,1,CDC
2020-10-07,1,CDC
2020-10-19,4,CDC
2020-10-20,2,CDC
2020-10-21,3,CDC
2020-11-10,1,CDC
2020-11-12,1,CDC
2020-11-20,1,CDC
2020-11-30,1,CDC
2020-12-14,1,CDC
2020-12-15,1,CDC
2020-12-19,1,CDC
2021-01-05,12,CDC
2021-01-06,3,CDC
2021-01-07,25,CDC
2021-01-08,4,CDC
2021-01-13,1,CDC
2021-01-23,1,CDC
2021-01-28,2,CDC
2021-02-01,2,CDC
2021-02-03,4,CDC
2021-02-10,1,CDC
2021-02-11,1,CDC
2021-02-19,2,CDC
2021-02-24,5,CDC
2021-02-26,4,CDC
2021-02-27,1,CDC
2021-03-04,2,CDC
2021-03-09,1,CDC
2021-03-12,2,CDC
2021-03-24,1,CDC
2021-03-25,3,CDC
2021-04-02,1,CDC
2021-04-05,2,CDC
2021-04-09,5,CDC
2021-04-12,2,CDC
2021-04-14,1,CDC
2021-04-27,1,CDC
2021-04-28,3,CDC
2021-05-12,4,CDC
2021-05-13,4,CDC
2021-05-14,9,CDC
2021-05-19,1,CDC
2021-05-20,6,CDC
2021-05-24,7,CDC
2021-05-25,5,CDC
2021-06-03,1,CDC
2021-06-07,2,CDC
2021-06-15,1,CDC
2021-06-23,1,CDC
2021-07-01,1,CDC
2021-07-07,1,CDC
2021-07-12,1,CDC
2021-07-19,1,CDC
2021-07-20,3,CDC
2021-07-21,1,CDC
2021-08-06,2,CDC
2021-08-10,1,CDC
2021-08-26,2,CDC
2021-08-31,3,CDC
2021-09-01,2,CDC
2021-09-14,1,CDC
2021-09-15,1,CDC
2021-09-27,2,CDC
2021-09-29,8,CDC
2021-10-05,1,CDC
2021-10-06,3,CDC
2021-10-19,2,CDC
2021-10-21,1,CDC
2021-10-27,2,CDC
2021-10-28,1,CDC
2021-11-16,2,CDC
2021-11-17,1,CDC
2021-11-18,1,CDC
2021-11-19,1,CDC
2021-11-24,1,CDC
2021-11-29,1,CDC
2021-11-30,1,CDC
2021-12-02,1,CDC
2021-12-03,1,CDC
2021-12-22,1,CDC
2021-12-28,1,CDC
2021-12-29,26,CDC
2021-12-30,10,CDC
2022-01-03,5,CDC
2022-01-06,1,CDC
2022-01-14,1,CDC
2022-01-25,1,CDC
2022-02-03,1,CDC
2022-02-08,1,CDC
2022-02-18,1,CDC
2022-02-25,4,CDC
2022-02-28,1,CDC
2022-03-03,1,CDC
2022-03-23,1,CDC
2022-03-28,1,CDC
2022-03-30,2,CDC
2022-04-15,1,CDC
2022-05-06,1,CDC
2022-05-11,1,CDC
2022-05-16,1,CDC
2022-05-17,1,CDC
2022-05-27,1,CDC
2022-05-31,1,CDC
2022-06-02,2,CDC
2022-06-07,3,CDC
2022-06-08,1,CDC
2022-06-13,1,CDC
2022-06-14,2,CDC
2022-06-15,7,CDC
2022-06-16,6,CDC
2022-06-23,3,CDC
2022-07-21,1,CDC
2022-07-25,1,CDC
2022-07-28,4,CDC
2022-08-30,1,CDC
2022-09-01,1,CDC
2022-09-09,1,CDC
2022-09-28,5,CDC
2022-10-04,9,CDC
2022-10-06,3,CDC
2022-10-11,1,CDC
2022-10-17,2,CDC
2022-10-18,1,CDC
2022-10-24,1,CDC
2022-10-27,1,CDC
2022-10-31,1,CDC
2022-11-18,1,CDC
2022-11-23,2,CDC
2022-11-25,2,CDC
2022-12-01,2,CDC
2022-12-07,1,CDC
2022-12-09,1,CDC
2022-12-19,1,CDC
2022-12-20,4,CDC
2022-12-21,1,CDC
2022-12-22,1,CDC
2022-12-31,4,CDC
2023-01-19,1,CDC
2023-01-24,1,CDC
2023-01-25,1,CDC
2023-01-26,1,CDC
2023-02-17,4,CDC
2023-02-22,2,CDC
2023-03-10,1,CDC
2023-03-24,1,CDC
2023-03-31,1,CDC
2023-04-04,1,CDC
2023-04-10,2,CDC
2023-04-13,1,CDC
2023-04-18,1,CDC
2023-04-25,1,CDC
2023-04-30,2,CDC
2023-05-04,2,CDC
2023-05-09,10,CDC
2023-05-10,1,CDC
2023-05-11,8,CDC
2023-05-15,2,CDC
2023-05-16,1,CDC
2023-05-23,1,CDC
2023-05-24,1,CDC
2023-05-30,1,CDC
2023-06-05,1,CDC
2023-06-06,3,CDC
2023-06-08,1,CDC
2023-06-15,9,CDC
2023-06-20,2,CDC
2023-06-22,2,CDC
2023-06-23,4,CDC
2023-06-27,2,CDC
2023-06-28,1,CDC
2023-06-30,2,CDC
2023-07-03,1,CDC
2023-07-05,1,CDC
2023-07-06,2,CDC
2023-07-13,1,CDC
2023-07-24,1,CDC
2023-08-02,1,CDC
2023-08-09,1,CDC
2023-08-15,2,CDC
2023-08-29,1,CDC
2023-09-01,2,CDC
2023-09-06,1,CDC
2023-09-21,3,CDC
2023-09-26,1,CDC
2023-09-27,5,CDC
2023-10-06,1,CDC
2023-10-18,1,CDC
2023-10-19,1,CDC
2023-10-20,3,CDC
2023-10-26,1,CDC
2023-10-31,1,CDC
2023-11-01,1,CDC
2023-11-03,2,CDC
2023-11-06,1,CDC
