created_date,datasets_created,Agency
2020-11-12,1850,EPA
2020-11-14,16,EPA
2020-11-29,105,EPA
2020-11-30,75,EPA
2020-12-03,80,EPA
2020-12-04,56,EPA
2020-12-07,3,EPA
2020-12-10,46,EPA
2020-12-14,3,EPA
2020-12-17,4,EPA
2021-01-05,12,EPA
2021-01-11,41,EPA
2021-01-14,4,EPA
2021-01-16,2,EPA
2021-01-19,5,EPA
2021-01-26,8,EPA
2021-02-10,25,EPA
2021-02-19,16,EPA
2021-02-26,1,EPA
2021-03-04,11,EPA
2021-03-09,18,EPA
2021-03-11,3,EPA
2021-03-13,6,EPA
2021-03-15,17,EPA
2021-03-18,2,EPA
2021-03-19,3,EPA
2021-03-21,6,EPA
2021-03-23,3,EPA
2021-03-25,5,EPA
2021-03-27,3,EPA
2021-03-29,10,EPA
2021-04-06,24,EPA
2021-04-12,27,EPA
2021-04-15,8,EPA
2021-04-16,1,EPA
2021-04-21,3,EPA
2021-04-25,4,EPA
2021-05-01,2,EPA
2021-05-02,6,EPA
2021-05-03,2,EPA
2021-05-08,10,EPA
2021-05-10,2,EPA
2021-05-14,1,EPA
2021-05-17,5,EPA
2021-05-22,4,EPA
2021-05-29,2,EPA
2021-06-01,4,EPA
2021-06-06,10,EPA
2021-06-07,1,EPA
2021-06-10,2,EPA
2021-06-12,9,EPA
2021-06-15,8,EPA
2021-06-17,3,EPA
2021-06-21,4,EPA
2021-06-25,4,EPA
2021-06-29,2,EPA
2021-07-01,2,EPA
2021-07-03,1,EPA
2021-07-06,1,EPA
2021-07-10,3,EPA
2021-07-12,1,EPA
2021-07-16,2,EPA
2021-07-17,3,EPA
2021-07-20,4,EPA
2021-07-22,3,EPA
2021-07-26,4,EPA
2021-07-30,4,EPA
2021-08-02,1,EPA
2021-08-06,2,EPA
2021-08-08,3,EPA
2021-08-13,5,EPA
2021-08-16,5,EPA
2021-08-20,2,EPA
2021-08-23,2,EPA
2021-08-27,2,EPA
2021-09-01,3,EPA
2021-09-07,3,EPA
2021-09-14,2,EPA
2021-09-16,2,EPA
