created_date,datasets_created,Agency
2020-11-10,851,HHS-GOV
2020-11-14,1,HHS-GOV
2020-12-02,2,HHS-GOV
2020-12-03,15,HHS-GOV
2020-12-10,31,HHS-GOV
2020-12-17,1,HHS-GOV
2021-01-06,2,HHS-GOV
2021-03-16,94,HHS-GOV
2021-03-23,60,HHS-GOV
2021-03-24,1,HHS-GOV
2021-03-25,1,HHS-GOV
2021-03-27,3,HHS-GOV
2021-03-29,63,HHS-GOV
2021-04-06,19,HHS-GOV
2021-04-13,3,HHS-GOV
2021-04-15,3,HHS-GOV
2021-04-17,1,HHS-GOV
2021-04-25,3,HHS-GOV
2021-04-30,3,HHS-GOV
2021-05-07,1,HHS-GOV
2021-05-10,1,HHS-GOV
2021-05-15,1,HHS-GOV
2021-05-17,2,HHS-GOV
2021-05-18,1,HHS-GOV
2021-05-27,6,HHS-GOV
2021-06-03,4,HHS-GOV
2021-06-04,1,HHS-GOV
2021-06-12,3,HHS-GOV
2021-06-25,5,HHS-GOV
2021-06-26,4,HHS-GOV
2021-07-02,1,HHS-GOV
2021-07-03,44,HHS-GOV
2021-07-09,12,HHS-GOV
2021-07-16,1,HHS-GOV
2021-07-26,1,HHS-GOV
2021-07-30,3,HHS-GOV
2021-09-01,1,HHS-GOV
2021-09-14,3,HHS-GOV
2021-09-19,4,HHS-GOV
2021-10-08,146,HHS-GOV
2021-10-14,11,HHS-GOV
2021-10-18,1,HHS-GOV
2021-10-19,1,HHS-GOV
2021-10-21,1,HHS-GOV
2021-10-22,1,HHS-GOV
2021-10-28,2,HHS-GOV
2021-10-30,19,HHS-GOV
2021-11-01,1,HHS-GOV
2021-11-04,1,HHS-GOV
2021-11-10,6,HHS-GOV
2021-11-13,1,HHS-GOV
2021-11-17,2,HHS-GOV
2021-11-19,1,HHS-GOV
2021-11-24,1,HHS-GOV
2021-11-29,1,HHS-GOV
2021-12-03,9,HHS-GOV
2022-01-25,135,HHS-GOV
2022-02-01,2,HHS-GOV
2022-02-09,14,HHS-GOV
2022-02-10,3,HHS-GOV
2022-02-16,1,HHS-GOV
2022-02-17,2,HHS-GOV
2022-02-20,1,HHS-GOV
2022-02-23,2,HHS-GOV
2022-03-02,17,HHS-GOV
2022-03-03,10,HHS-GOV
2022-03-08,1,HHS-GOV
2022-03-10,2,HHS-GOV
2022-03-11,2,HHS-GOV
2022-03-12,1,HHS-GOV
2022-03-16,1,HHS-GOV
2022-03-18,1,HHS-GOV
2022-04-21,39,HHS-GOV
2022-05-18,1,HHS-GOV
2022-05-26,1,HHS-GOV
2022-06-08,8,HHS-GOV
2022-06-09,4,HHS-GOV
2022-06-26,2,HHS-GOV
2022-07-04,1,HHS-GOV
2022-07-09,1,HHS-GOV
2022-08-14,2,HHS-GOV
2022-08-17,1,HHS-GOV
2022-08-28,1,HHS-GOV
2022-09-01,4,HHS-GOV
2022-09-02,1,HHS-GOV
2022-09-11,1,HHS-GOV
2022-09-16,1,HHS-GOV
2022-09-27,1,HHS-GOV
2022-09-29,2,HHS-GOV
2022-10-12,3,HHS-GOV
2022-10-19,1,HHS-GOV
2022-10-21,1,HHS-GOV
2022-10-29,17,HHS-GOV
2022-11-02,3,HHS-GOV
2022-11-15,1,HHS-GOV
2022-11-16,8,HHS-GOV
2022-12-09,10,HHS-GOV
2022-12-21,2,HHS-GOV
2022-12-24,1,HHS-GOV
2023-01-05,3,HHS-GOV
2023-01-20,1,HHS-GOV
2023-02-09,6,HHS-GOV
2023-02-15,1,HHS-GOV
2023-02-22,1,HHS-GOV
2023-03-03,3,HHS-GOV
2023-03-04,8,HHS-GOV
2023-03-11,1,HHS-GOV
2023-03-12,2,HHS-GOV
2023-03-19,1,HHS-GOV
2023-03-25,2,HHS-GOV
2023-03-29,41,HHS-GOV
2023-04-05,1,HHS-GOV
2023-04-06,1,HHS-GOV
2023-04-08,9,HHS-GOV
2023-04-11,1,HHS-GOV
2023-04-12,1,HHS-GOV
2023-04-20,5,HHS-GOV
2023-04-22,6,HHS-GOV
2023-04-26,1,HHS-GOV
2023-04-27,1,HHS-GOV
2023-05-02,1,HHS-GOV
2023-05-06,2,HHS-GOV
2023-05-11,1,HHS-GOV
2023-05-12,1,HHS-GOV
2023-05-17,1,HHS-GOV
2023-05-24,1,HHS-GOV
2023-05-29,1,HHS-GOV
2023-05-30,1,HHS-GOV
2023-05-31,2,HHS-GOV
2023-06-02,3,HHS-GOV
2023-06-04,1,HHS-GOV
2023-06-06,3,HHS-GOV
2023-06-09,1,HHS-GOV
2023-06-11,1,HHS-GOV
2023-06-14,1,HHS-GOV
2023-06-21,1,HHS-GOV
2023-06-25,1,HHS-GOV
2023-06-27,4,HHS-GOV
2023-06-29,7,HHS-GOV
2023-07-05,1,HHS-GOV
2023-07-06,1,HHS-GOV
2023-07-08,4,HHS-GOV
2023-07-11,1,HHS-GOV
2023-07-12,8,HHS-GOV
2023-07-20,1,HHS-GOV
2023-07-25,7,HHS-GOV
2023-07-27,2,HHS-GOV
2023-07-29,1,HHS-GOV
2023-08-02,48,HHS-GOV
2023-08-03,1,HHS-GOV
2023-08-07,23,HHS-GOV
2023-08-08,7,HHS-GOV
2023-08-10,5,HHS-GOV
2023-08-11,1,HHS-GOV
2023-08-16,1,HHS-GOV
2023-08-19,1,HHS-GOV
2023-08-22,1,HHS-GOV
2023-08-24,1,HHS-GOV
2023-08-29,1,HHS-GOV
2023-08-31,1,HHS-GOV
2023-09-06,2,HHS-GOV
2023-09-08,1,HHS-GOV
2023-09-13,3,HHS-GOV
2023-09-16,2,HHS-GOV
2023-09-20,1,HHS-GOV
2023-09-21,1,HHS-GOV
2023-09-27,1,HHS-GOV
2023-09-30,5,HHS-GOV
